"","text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name"
"587","Assange: Vote for Hillary Clinton is ‘vote for endless, stupid war' which spreads terrorism — RT News https://t.co/jGjc2klYJr",0,FALSE,FALSE,"697530446738034690",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:19:52 +0000 2016",NA,NA,"en",7,FALSE,NA,"2511805574",NA,FALSE,"Wed May 21 07:09:02 +0000 2014",9987,48,1,FALSE,NA,"jack o'malley",NA,"en",NA,261,"1foolon1hill"
"603","@RockwallFinley Cite to me anything where the FBI says they are conducting a criminal investigation into Hillary Clinton.",0,FALSE,FALSE,"697530449254604800","RockwallFinley","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:19:53 +0000 2016","697526270981177344","2987423725","en",6,FALSE,NA,"3053978610","Fourth President of the United States",TRUE,"Sun Mar 01 23:30:41 +0000 2015",5305,98,814,FALSE,NA,"Jimmy Madison",NA,"en",NA,216,"Federalist_10"
"607","RT @anniekarni: Hakeem Jeffries: ""Hillary Clinton has been a true friend to the AA community period...Bernie Sanders has been largely missi…",41,FALSE,FALSE,"697530450726801408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:19:53 +0000 2016",NA,NA,"en",36,FALSE,"Ian Somerhalder Fans Group","26825373","Mom| Delegate For Hillary Clinton, I ♥ Politics , Know  @HillaryClinton is our Future President I♥@IanSomerhalder",TRUE,"Thu Mar 26 19:22:33 +0000 2009",9028,4586,904,FALSE,"http://www.Facebook.com/MysticalMoonlight","Jennifer ♥Nuell","Mountain Time (US & Canada)","en",-25200,4445,"BellaMoon73"
"608","Hillary Clinton is a pathological liar with no real stance to campaign on other than the fact that she's a woman.",0,FALSE,FALSE,"697530450449866752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:19:53 +0000 2016",NA,NA,"en",12,FALSE,"Indigo Providence, SoCal","58441295","Fornicate With Females, Acquire Currency. Atlético Madrid. #DubNation. Genius. Blogger. Proud Member of Ashy Nigga Twitter #BDS #Anarchy Tottenham Spurs",TRUE,"Mon Jul 20 10:26:01 +0000 2009",16294,3030,502,FALSE,"http://theprovoking.blogspot.com","Provo King","Pacific Time (US & Canada)","en",-28800,2095,"RealNameOnyx"
"612","when u thought u were close with ur psych teacher from high school but he retweets Hillary Clinton https://t.co/mdvJvlRUzQ",0,FALSE,FALSE,"697530449711726592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:19:53 +0000 2016",NA,NA,"en",4,FALSE,"Florida, USA","1559550344","it takes a lot of courage to go out there and radiate your essence",TRUE,"Mon Jul 01 03:38:48 +0000 2013",16982,736,9533,FALSE,NA,"mckenna lewis","Hawaii","en",-36000,523,"mckennalew"
"639","RT @TalKopan: Former WH spox says Obama is supporting Hillary Clinton: https://t.co/nx2FHU5kiB",7,FALSE,FALSE,"697530457022455812",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:19:55 +0000 2016",NA,NA,"en",134,TRUE,"Washington, D.C.","172979014","@CNNPolitics Breaking News Editor. @usnews alum. Left Shark apologist. Mainer. Allegiance to Red Sox, Pats, Celts and Polar Bears playing any sport.",TRUE,"Sat Jul 31 03:03:39 +0000 2010",12399,2511,1531,FALSE,"http://www.cnn.com/POLITICS","Rebekah Metzler","Eastern Time (US & Canada)","en",-18000,330,"rebekahmetzler"
"656","RT @CauseWereGuys: RT for Puppy Monkey Baby

Like for Hillary Clinton https://t.co/5qvKRJWzX1",4565,FALSE,FALSE,"697530461187235840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Wed Feb 10 21:19:56 +0000 2016",NA,NA,"en",2,FALSE,NA,"1138461709","Winners Never Quit and Quitters Never Win yorkville baseball #12 ⚾️ 12/23/14 ❤️",FALSE,"Fri Feb 01 02:01:47 +0000 2013",675,162,1535,FALSE,NA,"Jonny Behrens",NA,"en",NA,294,"Behrens2"
"676","RT @gehem007: @1978BABY looks like you don't know Hillary Clinton's history even though it wasmentioned in that M.A's piece. Also: https://…",1,FALSE,FALSE,"697530465100562433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Wed Feb 10 21:19:57 +0000 2016",NA,NA,"en",44,FALSE,NA,"4045052652","Long time activist for human/civil/immigrant/animal rights. I believe feminism is an absolute necessity. I support @foodnotbombs. Poverty is a curable injustice",FALSE,"Wed Oct 28 09:37:12 +0000 2015",8521,960,14925,FALSE,NA,"christopher m","Pacific Time (US & Canada)","en",-28800,1903,"cmmcmmcmmcmm"
"697","#News #World A Tale of Two Clintons: Let's look then, at what kind of experience Hillary Clinton ha... https://t.co/akvWIwrKds #WorldNews",0,FALSE,FALSE,"697530469869494272",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",FALSE,"Wed Feb 10 21:19:58 +0000 2016",NA,NA,"en",1047,FALSE,"New Jersey, USA","3265559538","#Women #News Worldwide #Feminism #LikeAGirl #LGBT #Islamophobia #DomesticViolence #UniteBlue #AnimalRights #Gunsense Powered by @AnimalRightsJen",FALSE,"Thu Jul 02 02:24:14 +0000 2015",548382,16815,1131,FALSE,NA,"Women's News","America/New_York","en",-18000,8948,"WomenWorldNews1"
"727","Hillary Clinton's Support for GMOs Confirmed by Gates Foundation - Sustainable Pulse https://t.co/hoa6aA2E06",0,FALSE,FALSE,"697530474927763456",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",FALSE,"Wed Feb 10 21:19:59 +0000 2016",NA,NA,"en",0,FALSE,NA,"544641065",NA,FALSE,"Tue Apr 03 22:30:00 +0000 2012",16460,6,1,FALSE,NA,"Karolee","Atlantic Time (Canada)","en",-14400,35,"Karolee4"
